Itgb1,Pxn
Itgb1,Ptk2
Dmd,Tln1
Dmd,Dag1
Dmd,Ptk2
DMD,Itgb1
DMD,Ptk2
DMD,Snta1
Dmd,Actb
Itgb1,Actb
Glg1,Fgf2
Matn2,Thbs4
FN1,Thbs4
Tirap,Prkcd
Tirap,Prkch
SSTR3,Mpdz
Sstr3,Mpdz
Arrb2,Adrb2
Adrb2,Ubc
Dusp1,Ubc
Traf6,Zfp110
Zfp110,Sqstm1
Sqstm1,Traf6
Ntrk1,Ngfr
Ntrk1,Traf6
Ntrk1,Ube2l3
Traf4,Ube2l3
Traf4,Sqstm1
Ntrk1,Shc1
Lnx1,Erbb2
Mef2d,Ubc
Usp7,USP7
Itpr1,Vcp
Itpr1,Ufd1l
Itpr1,Ube4a
Scnn1a,UBC
Fbxo2,Grin1
Kcnj1,Ubc
Nedd4,Ywhah
Nedd4,Ywhab
Nedd4,Ywhag
Nedd4,Ywhae
Nedd4,Ywhaq
Sh3gl1,Ubc
Wasf2,Ubc
Sorbs2,Sh3gl1
Sorbs2,Synj1
Sorbs2,Dnm1
Sorbs2,Dnm2
Ocln,Itch
Ocln,Ubc
Scn2a,Nedd4
Sub1,Tp53
Irs1,Ubc
Irs1,Mdm2
Nfkb1,Hist3h3
Nfkb1,Hist1h4b
Gja1,Ubc
Ctnnb1,Ubc
Ubc,MYC
Cd2ap,Bcr
Cbl,Flt1
Epn1,Ubc
Eps15,Ubc
Usp9x,Epn1
Dlg4,Ubc
Dlg4,Mdm2
Lyn,Ubc
Fyn,Ubc
Lyn,Cbl
Ubc,Xiap
Socs1,Jak2
Smad2,Ubc
Hspd1,Bax
Hspd1,Bcl2l1
Ubc,Bcl2l1
Vhl,Epas1
Ubc,Epas1
Ubc,Arrb1
Ubc,Ucp1
Cnn1,Acta1
Cnn1,Prkca
Ndfip1,Nedd4
Insr,CALM3
Cdk4,Kras
Ccne1,Kras
Ccnd2,Kras
Cdk4,Ccnd2
Cdk2,Ccnd2
Ccne1,Cdk2
Cdc27,Cdh1
Cdh1,Ccna1
Cdh1,Cdk2
